Model,Metric,Value
llava-hf/llava-1.5-7b-hf,Total Images,927
llava-hf/llava-1.5-7b-hf,Correct Predictions,500
llava-hf/llava-1.5-7b-hf,Wrong Predictions,427
llava-hf/llava-1.5-7b-hf,Accuracy (%),53.937432578209275
llava-hf/llava-1.5-7b-hf,Error Rate (%),46.062567421790725
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: Class 1 - Motorcycles,97.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: Class 1 - Motorcycles,3.0
llava-hf/llava-1.5-7b-hf,"Per-Class Accuracy: Class 2 - Car, SUV, Station Wagons",96.96969696969697
llava-hf/llava-1.5-7b-hf,"Per-Class Error Rate: Class 2 - Car, SUV, Station Wagons",3.030303030303031
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: pickup,88.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: pickup,12.0
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: van,88.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: van,12.0
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: bus 2,69.04761904761905
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: bus 2,30.95238095238095
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: truck 2,3.9603960396039604
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: truck 2,96.03960396039604
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: bus 3,0.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: bus 3,100.0
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: truck 3,0.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: truck 3,100.0
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: truck 4,0.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: truck 4,100.0
llava-hf/llava-1.5-7b-hf,Per-Class Accuracy: truck 5,98.0
llava-hf/llava-1.5-7b-hf,Per-Class Error Rate: truck 5,2.0
llava-hf/llava-1.5-7b-hf,Processor,x86_64
llava-hf/llava-1.5-7b-hf,CPU Count,128
llava-hf/llava-1.5-7b-hf,Memory (GB),503.47
llava-hf/llava-1.5-7b-hf,Elapsed Time (seconds),538.5993242263794
