image,folder_label,prediction,axles,is_correct
benchmark_vlm/master/Class 1 - Motorcycles/1682252179139_jpg.rf.fef607c55ecee91556ea016695393d4f.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179161_jpg.rf.0faa46fb2e9068194b12fb2bcfe0a1e9.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179171_jpg.rf.d5b7a663af31230bc2d4107e58c36564.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179190_jpg.rf.383b0a526f5f6c271dc890374c255c74.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179196_jpg.rf.988aa9a001ff8b7a6a6e85a7852d4fd1.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179212_jpg.rf.bf9757ad2b484c81840252afd58d5dd8.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179215_jpg.rf.99bac4affba9f8b8731ed4e612641047.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179238_jpg.rf.4cf40867246e0ea15330a487fc5e595e.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179241_jpg.rf.157cadd23076d58a73b9254ca38bf5d3.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179256_jpg.rf.de245e4a193b88d66086b16274a4e46d.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179263_jpg.rf.591f080db474e50e64528b74c2432748.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179266_jpg.rf.17ef9afa915006539986b9684c8d26db.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179270_jpg.rf.5e5230da3312085b915c626712cdf097.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179273_jpg.rf.3f836c302574e4080ffa93e88daee291.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179288_jpg.rf.66124bce84d5b45818151b4b0a23363d.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179291_jpg.rf.e668a6ac753de426528da2b3fc17c760.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179295_jpg.rf.b66a425320c1c335e8efd77f604ce7e9.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179302_jpg.rf.36bb91b8b4c9e09d37384db7ce530312.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179305_jpg.rf.10c33c44d3bb428bd144f0419a6978d0.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179309_jpg.rf.9ab7c408581ff1aabd607db66c33ea88.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179323_jpg.rf.3773a676b54aab4ed09b4d694b1cf581.jpg,Class 1 - Motorcycles,scooter,,True
